标题,封面链接,详情页链接,作者,简介,字数,价格
荒原狼,https://pic.arkread.com/cover/ebook/f/19683129.1653708758.jpg!cover_default.jpg,https://read.douban.com/ebook/19683129/,"[瑞士] 赫尔曼·黑塞, 译者: 李世隆",《荒原狼》是赫尔曼·黑塞最著名的长篇小说，也是作者本人最满意的一部作品。故事讲述了一位中年欧洲知识分子被精神疾病折磨走向人生的两难，又摆脱了绝望的蜕变过程。  这部小说因其深刻的心理分析、广博的思想内容、奇特的情节结构、高超的艺术表达，对社会产生了巨大的影响，引发了一次又一次的“黑塞热”。该作被公认为完美体现了黑塞的创作特色，不仅是黑塞创作历程中的里程碑，也是“一座永恒的精神灯塔”。    赫尔曼·黑塞，德国作家，诗人。出生在德国，1919年迁居瑞士，1923年46岁入瑞士籍。黑塞一生曾获多种文学荣誉，比较重要的有：冯泰纳奖、诺贝尔奖、歌德奖。1946年获诺贝尔文学奖。1962年于瑞士家中去世，享年85岁。爱好音乐与绘画，是一位漂泊、孤独、隐逸的诗人。作品多以小市民生活为题材，表现对过去时代的留恋，也反映了同时期人们的一些绝望心情。主要作品有《彼得·卡门青》、《荒原狼》、《东方之旅》、《玻璃球游戏》等。,134381字,4.71元
看不见的城市（卡尔维诺经典）,https://pic.arkread.com/cover/ebook/f/109853465.1653693584.jpg!cover_default.jpg,https://read.douban.com/ebook/109853465/,"[意] 伊塔洛·卡尔维诺, 译者: 张密",在大陆，王小波、苏童、阿城、止庵是他的忠实粉丝  在台湾，朱天文，唐诺是卡尔维诺不余遗力的传播者  在香港，梁文道说他一直在准备谈卡尔维诺，可是一直没准备好  权威版本，全面修订2006年单行本译本，并增补卡尔维诺各作品自序、后记、注释等重要资料  卡尔维诺认为他“写了一种东西，它就像是在越来越难以把城市当作城市来生活的时刻，献给城市的最后一首爱情诗。也许我们正在接近城市生活的一个危机时刻，而《看不见的城市》则是从这些不可生活的城市的心中生出来的一个梦想。”    意大利当代最具有世界影响的作家。于1985年获得诺贝尔文学提名，却因于当年猝然去世而与该奖失之交臂。但其人其作早已在意大利文学界乃至世界文学界产生巨大影响。  卡尔维诺从事文学创作40年，一直尝试着用各种手法表现当代人的生活和心灵。他的作品融现实主义、超现实主义与后现代主义于一身，以丰富的手法、奇特的角度构造超乎想像的、富有浓厚童话意味的故事，深为当代作家推崇，并给他们带来深刻影响。《我们的祖先》三部曲、《命运交叉的城堡》、《帕洛马尔》等达到惊人的艺术高度和思想深度。《意大利童话》最大限度地保持了意大利民间口头故事的原貌，艺术价值和学术价值兼具，是再现意大利“民族记忆”之深厚积淀的不可多得的作品。《美国讲稿》是卡尔维诺对自己近40年小说创作实践的丰富经验进行的系统回顾和理论上的总结与阐发。他的作品以特有的方式反映了时代，更超越了时代。,48645字,8.99元
沙丘（第一部）,https://pic.arkread.com/cover/ebook/f/336468415.1653693028.jpg!cover_default.jpg,https://read.douban.com/ebook/336468415/,"[美] 弗兰克·赫伯特 原著, [美] 布莱恩·赫伯特, [美] 凯文.J.安德森 改编, [西] 劳尔·艾伦, [西] 帕特里夏·马丁 绘, 译者: 刘勇军",我不可以害怕。恐惧让人失去理智。恐惧就像死神，会毁灭一切。我要直面恐惧，绝不退缩……弗兰克·赫伯特的史诗级科幻巨作《沙丘》的故事发生在遥远的未来，背景是一个庞大的星际封建社会，讲述了保罗·亚崔迪及其家人如何接管沙漠星球阿拉基斯星。而阿拉基斯星是宇宙中最重要、最有价值资源的唯一产地。  《沙丘》最早出版于1965年，现由《纽约时报》畅销书作家布莱恩·赫伯特（弗兰克·赫伯特之子）和凯文·J.安德森改编成了一部忠实于原著的漫画小说，讲述了帝国的各股力量为争夺阿拉基斯星的控制权而冲突不断的故事，探索了政治、宗教、生态、技术和人类情感之间复杂和多层次的相互作用。《沙丘》完美地将冒险、神秘、环保和政治融合在了一起，劳尔·艾伦和帕特里夏·马丁用一幅幅充满视觉冲击力的图画，为新一代读者创造了一个富于感染力的奇幻故事。    原著作者：弗兰克·赫伯特（1920—1986年），美国科幻作家，最出名的作品是小说《沙丘》及其五部续集。赫伯特没有从大学毕业，但他创作了出色的科幻小说，因此闻名于世。《沙丘》是有史以来最畅销的科幻小说。这套小说被广泛认为是其后所有科幻小说的原型。  布莱恩·赫伯特，弗兰克·赫伯特的儿子，写了一本关于他父亲的感人传记《沙丘上的梦想家》。布莱恩还因与作家凯文.J.安德森的合作而闻名，他们二人一起为他父亲1965年里程碑式科幻小说《沙丘》撰写了多部续集和前传，这些作品都曾登上《纽约时报》畅销书排行榜。  凯文.J.安德森，美国科幻小说作家，著有五十多本畅销书。他为《星球大战》、《星际争霸》和《X档案》写过衍生小说，并与布莱恩·赫伯特合著了《沙丘》前传系列。  绘者：劳尔·艾伦，画家兼导演，居住在西班牙的巴拉亚多利德。艾伦曾与马特·法拉克辛、杰夫·勒米尔、马特·金特和皮特·米利根等作家一起为漫威漫画、勇士漫画和DC漫画工作。作为一名插画家，艾伦曾与导演昆汀·塔伦蒂诺、《花花公子》、《滚石》、《纽约时报》和《华尔街日报》合作。  帕特里夏·马丁，一名漫画填字员、漫画家和插画家，多次获得哈维奖提名。在过去的四年里，她与史蒂夫·奥兰多合作过《神奇女侠》，与杰夫·勒米尔合作过《喋血战士：重生》，与马特·金德合作过《忍者K》，还与画家劳尔·艾伦和作家埃里克·海瑟尔合作过《秘密武器》。  译者：刘勇军，翻译家，译著等身，英语语言文学专业，湖南邵东人，闲暇时读书、译书，写作，翻译出版过数十部文学作品，包括《月亮与六便士》《摆渡人3》《刀锋》《不安之书》《黑石之墓》《心是孤独的猎手》《失踪的总统》《道林·格雷的画像》《纳尼亚传奇》《项塔兰2》《贝尔荒野求生系列》《移动迷宫》《我在雨中等你》《杀死一只知更鸟》《一条狗的使命》，暮光之城作者斯蒂芬妮·梅尔作品《化学师》等。,2923字,36.96元
生吞,https://pic.arkread.com/cover/ebook/f/54459942.1653702420.jpg!cover_default.jpg,https://read.douban.com/ebook/54459942/,郑执,2003年冬，十七岁少女黄姝惨遭奸杀，全身赤裸被弃尸于“鬼楼”前的雪坑。“鬼楼”案震惊全市，而重要嫌疑人在追捕中意外受重创成为植物人。2013年，又一具年轻女尸在同个雪坑内被发现，凶手作案手段也完全复刻。追查此案的老刑警冯国金坠入迷雾，倘若十年前亲手破获的是桩冤案，至今逍遥法外的真凶为何再度现身挑衅警方？  连载期间数十万读者翘首以盼的《生吞》单行本，一字未删，震撼上市。  悬疑文学榜上的年度黑马作品，「ONE.一个」常驻作者郑执首部长篇悬疑小说。  被读者誉为“中国版《白夜行》”，一部在连载期间获赞无数，令读者“睡意全无”“大气不敢喘”“数度泪崩”的人气佳作。连载尚未完成，影视版权已被各大影视公司哄抢。  跨越类型文学与纯文学的界限，将悬疑类型文学拉到了一个新高度。以多视角、多时间点的叙事技巧，生动而凝练的笔力，探讨人性，感知时代，试探每一个灵魂的至深处。  两桩相隔十年的少女奸杀案，一段深埋在五个少男少女间的青春往事。真相远比案件更残酷。  小孩子的恶是纯粹的恶，成年人的善是复杂的善。你有没有想过，我们都曾是戴罪之人？  郑执作家，编剧，（ONE.—个）常驻作者。已出版长篇小说《浮》《别去那个镇》《我只在乎你》，短篇小说集《我在时间尽头等你》，随笔集《从此学会隐藏悲伤》。,157257字,9.9元
战锤·荷鲁斯之乱：荷鲁斯崛起,https://pic.arkread.com/cover/ebook/f/314020996.1653694545.jpg!cover_default.jpg,https://read.douban.com/ebook/314020996/,"[英] 丹·阿伯奈特, 译者: 赵笛",银河的衰亡时代业已降临，你准备好了吗？让我们一起聆听终焉时代里，人类帝国的吼声！  本书主要描述战锤40000世界的前奏——荷鲁斯之乱时期的史诗故事。  战锤40000是有30年历史的史诗级星际科幻故事，在欧美广为人知。  是不少著名星际科幻（如星际争霸）的灵感来源，也是科幻史上流行最久的传奇。  荷鲁斯之乱是一段传奇岁月，讲述众多伟岸英雄为了统御银河之权奋力拼搏的故事。  荷鲁斯是基因原体中最出众的总指挥官，在他坠落苍穹之前，又会经历怎样的命运？  地球帝皇的亿万大军纵横星海，以一场伟大远征将银河纳入囊中——在这些精兵强将面前，无以计数的异形种族难当锋锐，就此在历史长卷上被抹消了踪迹。人类种族威震寰宇的璀璨年代拉开了序幕。黄金白玉堆砌而成的闪耀堡垒颂扬着帝皇的诸多凯旋。一百万个世界上林立的纪念碑，翔实描述那些悍勇战将的传奇功绩。  帝皇的战士中最强大的便是基因原体，这些英武绝伦的人物率领帝皇麾下的星际战士大军斩获了无数胜果。他们势不可当，高贵超凡，是帝皇基因实验的巅峰成就。星际战士则是银河之中前所未有的强悍士兵，每个人皆有以一敌百之力。数以万计的星际战士组成庞大军团，追随各自原体踏入星海，以帝皇之名征服银河。  所有基因原体中最出众的是荷鲁斯，亦唤荣耀者、光明星辰，帝皇宠儿、如父爱子。他受封战帅，是帝皇麾下各路大军的总指挥官，是万千世界与整个银河的征服者。他是无出其右的战士，也是手腕卓绝的外交家。荷鲁斯是一颗冉冉升起的新星，然而在他坠落苍穹之前，又会经历怎样的命运？  这是第31个千年。在不朽帝皇的仁慈引领下，人类帝国得以开疆扩土，横跨银河。这是一个充满了崭新发现与辉煌征伐的黄金年代。然而就在凯旋的前夕，帝皇从伟大远征的最前线抽身离去，将统领全军的重任托付给他的爱子荷鲁斯。颇具理想主义的荷鲁斯就此被擢升为战帅，他究竟能否实现帝皇的宏伟蓝图？这项晋升又是否会在诸位兄弟之间播撒叛乱的种子？  《荷鲁斯崛起》是荷鲁斯叛乱这段传奇史诗的开篇之作，而那将是一场把人类种族推向灭亡边缘的惊天内战。    丹·阿伯奈特已经完成了四十余本小说，包括广受好评的《冈特幽魂》系列、《艾森豪恩》三部曲以及《拉文诺》三部曲。他推出的荷鲁斯叛乱系列作品《普罗斯佩罗之焚》和《无所畏惧》都登上了《纽约时报》畅销书榜。丹除了为黑图书馆执笔之外，还效力于英美各大出版商并为广播剧、电影、游戏和漫画撰写剧本，现居于肯特郡的梅德斯通。  赵笛，毕业于清华大学生物系，常用网络ID为Haldir；埋首阅读英美奇幻文学作品多年，熟悉并热爱马哲里两兄弟、秘银厅六英雄、费诺七子、护戒九人、终焉八位化身、帝国十九原体等传奇人物；现旅居瑞典小城北雪坪。,202738字,55.0元
植物妻子,https://pic.arkread.com/cover/ebook/f/422278955.1678436886.jpg!cover_default.jpg,https://read.douban.com/ebook/422278955/,"[韩] 韩江, 译者: 崔有学","◆诺贝尔文学奖热门候选，亚洲首位布克国际文学奖得主韩江短篇小说集。荣膺意大利马拉帕蒂文学奖、西班牙圣克莱门特文学奖、入选国际都柏林文学奖短名单、挪威未来图书馆项目年度作家。  作为韩国文坛的中坚力量，韩江极有可能成为韩国当代作家斩获诺贝尔文学奖的重要人选。  ——诺贝尔文学奖得主、法国文坛领军人勒克莱齐奥  ◆精彩程度八倍于《素食者》，仅凭八分之一内容即荣获韩国小说文学奖。  花与野兽，植物与铁器，失明与坠落，逃脱的梦和受伤的脚，失败的爱情，破碎的亲情和在没有希望的世界里流浪的我们。  ◆心中怀着一把刀，却一而再，再而三，救自身于水火中的底层人物。  变成植物的妻子，离家出走的主妇，毅然出家的少女，心中怀刀的母亲，没有能力维持爱意的情侣。  本书由八部中篇和短篇小说构成。  水与火，柔软与尖锐，春天与冬天，植物与铁器，韩江在这些冲突中洞悉瞬间的感觉和印象，用美妙而生动的语言刻画命运的表情，在刺探人与人之间关系的阴暗面时，闪烁着耀眼的光芒。短篇集关注“底层”人群，每个主人公都像在“没有希望的世界里像孤儿一样”流浪。他们从偏僻小镇的旅馆房间、考试院走廊尽头的房间、黑暗的地下室或多户型住宅和高层公寓的走廊尽头走出来，经过黑暗的楼梯和没有路灯的胡同，走进纷繁的令人疲倦的城市大街之中。然而即使他们离开许许多多疲惫的人们和不幸的都市，来到偏僻的海边或边缘港口城市生活，最终还是要回归都市，这就是他们的宿命。他们处在都市喧闹、污染和复杂的人际关系中，却没有能够包容和安抚他们的乐园或是母亲。乐园和母亲只存在于梦中或是死亡的那一边。他们所在的世界是父亲的世界，是邪恶和冰冷的世界。那里是现实的世界，充满了蛇、数字13和4，还有冰冰冷冷的铁制品。而韩江小说中的人物将要在那里重生。    韩江 한강  1970年生，毕业于延世大学国文系，现任韩国艺术大学文艺创作系教授，当代韩国文坛最具国际影响力的作家之一。她曾先后荣获《首尔新闻报》年度春季文学奖，韩国小说文学奖，今日青年艺术家奖，东里文学奖、李箱文学奖、万海文学奖等。其作品从更为根源的层面上回望生活的悲苦和创伤，笔墨执著地袒护伤痕，充满探索的力量。  2016年5月16号,布克国际文学奖在伦敦揭晓。韩江凭借小说《素食者》击败诺贝尔文学奖得主奥尔罕·帕慕克新作《我脑袋里的怪东西》，诺贝尔文学奖得主大江健三郎晚年代表作《水死》、畅销书“那不勒斯四部曲”终曲《失踪的孩子》等154名竞争对手最终成为该奖项历史上第一位亚洲作家。2017年，她获得了有“意大利诺贝尔文学奖”之称的马拉帕蒂文学奖。2018年，她凭借作品《白》再次入围布克国际文学奖短名单，并且创纪录的在同一年凭借《少年来了》入围国际都柏林文学奖短名单。2019她获得西班牙圣克莱门特文学奖。  崔有学  中央民族大学中国少数民族语言文学学院朝鲜语言文学系副教授，曾在中国民族语文翻译局朝鲜文翻译室、中央民族大学外国语学院朝鲜语系工作，2018年5月至今在中国少数民族语言文学学院朝鲜语言文学系工作。2018年8月-2019年8月曾赴韩国首尔大学访学一年。曾获得《第四届韩国文学翻译新人奖》（韩国文学翻译院）。",135325字,58.0元
名利场人,https://pic.arkread.com/cover/ebook/f/481542433.1728550810.jpg!cover_default.jpg,https://read.douban.com/ebook/481542433/,朝小诚,六月，申南城气候异常。  高温侵袭，气温直逼四十二度。老黄历上写着一页，“今日夏至”。徐达看到，顺手撕了下来。他怀疑自己买错黄历，大暑都没这么热。  下午，热浪翻滚，徐达在保卫室穿好保安服。他个子不错，一米八三，很给他的气质长脸。不像是保安，倒像是保镖。    朝小诚，白天打工，深夜写稿。被一个人好好爱了很多年，自此相信一个人是真的会用全部去待另一个人好的。永远坚信两件事，一是热烈，二是爱。已出版作品：《黑白》《唐家小猫》《不悔》《凉风有信》《我终究是爱你的》等。,298880字,6.99元
庭外（全3册）,https://pic.arkread.com/cover/ebook/f/407297661.1663570067.jpg!cover_default.jpg,https://read.douban.com/ebook/407297661/,"指纹 著, 施一凡 改编",罗晋、夏雨主演热播系列剧《庭外》剧本小说！  《刀锋上的救赎》《白夜追凶》《重生》作者指纹最新力作！  重点，从来都在法庭之外  落魄律师×新手助理×铁面法官  落水者抓住稻草，盲区恰藏于暗处。  你是想“做好”律师，还是做“好律师”？  前者靠努力，后者靠天性。  ◆落水者  金牌律师乔绍廷是津港律师界的“不败传奇”，有自己独特的办案方法和行事准则。在代理一桩“离奇无尸案”时，好友死于车内，而他被陷害为犯罪嫌疑人，被关进看守所、暂扣律师执业证、欠下巨额债务，跌入了人生的至暗时刻。  然而，面对重重危机，他仍不惜一切代价，执着于调査案件的真相，与优秀的青年律师萧臻搭档，共同跟进案件的死刑复核工作。而乔绍廷此次查案，也将津港市金馥、德志两大律所的暗流涌动拉上了明面……  ◆盲区  法官鲁南前往南津参详九年前一桩“离奇碎尸惨案”的死刑复核。他在调查中发现，这似乎与“陈曼团伙走私案”有着千丝万缕的联系。为了能够尽快找到真相，鲁南与在津港的乔绍廷联手，争分夺秒，围追堵截，希望可以凭借各自的“极限操作”闯过重重危机。    指纹，北京人。律师。  2004年创建犯罪剖绘爱好者团体“指纹·犯罪研究工作室”，  2007年开办同名主题咖啡屋。  小说代表作：《刀锋上的救赎》  编剧代表作：《白夜追凶》《重生》等。  施一凡。职业编剧，业余写小说。  本科和研究生毕业于北京电影学院文学系。,329605字,38.99元
天钧,https://pic.arkread.com/cover/ebook/f/485192775.1731998884.jpg!cover_default.jpg,https://read.douban.com/ebook/485192775/,"[美] 厄休拉·勒古恩, 译者: 夏星",乔治拥有“通过做梦改变现实”的能力，却不能控制梦境。  他恐惧噩梦成真，不敢入睡，几近发狂。  他向精神病医生哈伯求救，哈伯却暗中操纵他的梦境，来完成自己“完美乌托邦”的计划。  可如果一只蝴蝶扇动翅膀，就能引发龙卷风，那么乔治的梦境，又会引发怎样的地动山摇？  第一个梦醒来，一幅小小的画消失了。  第二个梦醒来，一场全球大瘟疫暴发了。  第三个梦醒来……    厄休拉·勒古恩（Ursula K.Le Guin，1929—2018），在男性主导的科幻界，却有一位女性作家脱颖而出，与J.R.R.托尔金和C.S.路易斯并称为“幻想文学三巨头”，被誉为当之无愧的奇幻女王。她就是厄休拉·勒古恩。  勒古恩一生获奖无数：8次雨果奖、6次星云奖、24次轨迹奖、美国科幻奇幻作家协会“大师”称号……村上春树、宫崎骏、阿特伍德、刘慈欣都是她的崇拜者。  勒古恩的科幻作品，以先锋大胆的社会实验和浓郁的东方道家思想著称。在《天钧》中，她以道家无为、均衡的思想，重述西方乌托邦主题，一梦一醒之间，乌托邦大厦拔地而起，又轰然倒塌，唯余温暖的人性，让人回味无穷。,114761字,24.9元
天钧,https://pic.arkread.com/cover/ebook/f/485192775.1731998884.jpg!cover_default.jpg,https://read.douban.com/ebook/485192775/,"[美] 厄休拉·勒古恩, 译者: 夏星",乔治拥有“通过做梦改变现实”的能力，却不能控制梦境。  他恐惧噩梦成真，不敢入睡，几近发狂。  他向精神病医生哈伯求救，哈伯却暗中操纵他的梦境，来完成自己“完美乌托邦”的计划。  可如果一只蝴蝶扇动翅膀，就能引发龙卷风，那么乔治的梦境，又会引发怎样的地动山摇？  第一个梦醒来，一幅小小的画消失了。  第二个梦醒来，一场全球大瘟疫暴发了。  第三个梦醒来……    厄休拉·勒古恩（Ursula K.Le Guin，1929—2018），在男性主导的科幻界，却有一位女性作家脱颖而出，与J.R.R.托尔金和C.S.路易斯并称为“幻想文学三巨头”，被誉为当之无愧的奇幻女王。她就是厄休拉·勒古恩。  勒古恩一生获奖无数：8次雨果奖、6次星云奖、24次轨迹奖、美国科幻奇幻作家协会“大师”称号……村上春树、宫崎骏、阿特伍德、刘慈欣都是她的崇拜者。  勒古恩的科幻作品，以先锋大胆的社会实验和浓郁的东方道家思想著称。在《天钧》中，她以道家无为、均衡的思想，重述西方乌托邦主题，一梦一醒之间，乌托邦大厦拔地而起，又轰然倒塌，唯余温暖的人性，让人回味无穷。,114761字,24.9元
全员嫌疑人,https://pic.arkread.com/cover/ebook/f/331615984.1653693406.jpg!cover_default.jpg,https://read.douban.com/ebook/331615984/,"[日] 大山诚一郎, 译者: 曹逸冰",探员和户宋志有一种特殊能力，能让身边之人的推理能力急速提高。与世隔绝的度假山庄，死者留下诡异血十字。无法逃脱的地下展厅，黑暗中传来惊声尖叫。高空飞行的国际航班，乘客悄无声息地死去……一桩桩密闭空间内的谋杀，案发现场全员都是嫌疑人！在和户特殊能力的影响下，嫌疑人们不断展开推理，不断互相推翻。究竟谁能成为破解真相的名侦探，谁又是隐藏至深的真凶？    大山诚一郎（Oyama Seiichiro），被誉为“短篇推理之神”，曾是京都大学推理小说研究会的一员。2004年凭借《字母表谜案》出道，以纯熟的超然逻辑在推理界受到高度评价，次年即登上本格推理BEST10榜单。此后，陆续出版了《密室收藏家》《绝对不在场证明》和《诡计博物馆》，反复横扫日本推理三大榜单，斩获诸多权威推理奖项。  《全员嫌疑人》是大山诚一郎最新的推理短篇集，专注于多重反转。本书围绕推理题材中的“孤岛模式”讲述了七桩案件。由于主人公具有提高他人推理力的特殊能力，因此除了凶手，侦探是谁也成了谜团之一，这让所有案件愈发扑朔迷离。  大山诚一郎的作品以“快节奏、零废话、神反转”著称，同时不断推陈出新，每一部新作都在攀登本格推理界的新高峰。  大山诚一郎所获奖项：本格推理大奖；密室大奖（SR AWARD）；年度“黄金的本格”；六次登榜“本格推理小说BEST10”；登榜“这本推理小说了不起！”；两次登榜《周刊文春》推理小说BEST10；两次登榜“新世纪最佳本格短篇小说”。,87457字,42.0元
明日战场上想起我,https://pic.arkread.com/cover/ebook/f/480624862.1727597064.jpg!cover_default.jpg,https://read.douban.com/ebook/480624862/,"[西] 哈维尔·马里亚斯, 译者: 鹿秀川",★西班牙当代著名作家哈维尔·马里亚斯经典代表作  ★斩获多项国际文学奖 中译本首度引进  【罗慕洛·加列戈斯国际小说奖】【法国费米娜文学奖】  【西班牙法斯腾拉特文学奖】【意大利蒙德罗文学奖】  ★意外身亡的情人 消失的目击者 亲密关系中的骗局与背叛 甚至，不期而至的杀意  ★在亲密关系这场战役里，我们每个人都输得如此彻底  ★马里亚斯把我们带向了艺术和文学更加深远和宽广的地方。——余华  谁能料到有天一个女人会在我怀里死去，而这甚至是我第一次拥她入怀。她死在凌晨三点，丈夫远在伦敦，两岁的孩子则在几步之隔的另一间卧室安睡。  现在想来，我越来越觉得她是个从未活过的人，她死了这么久，甚至比她活着时我们相识的时间还要长，虽然那时我曾见过她，和她说过话，还亲吻过她：对我来说，她只活了三天，我在那三天中的几个小时里曾见证过她的呼吸。尽管如此，一切也可能不是真的：所有逝去的生命都比那变化无常、仍活着的生命更为长久。  无法拯救，无可挽回。所有的一切都奔向自身的消亡，所有的兴奋或痛苦都只能持续一瞬间而已，随即消逝，犹如踩实的雪面，犹如孩子做的梦。    哈维尔·马里亚斯 Javier Marías  西班牙著名作家、翻译家，1951年生于马德里。1979年因翻译《项狄传》获得西班牙国家翻译奖。1994年出版《明日战场上想起我》，获得罗慕洛·加列戈斯国际小说奖、法国费米娜文学奖等多项国际大奖。另著有长篇小说《如此苍白的心》《万灵》《托马斯·内文森》，短篇小说集《不再有爱》等。  2022年9月11日于马德里病逝。  鹿秀川  复旦大学外国语言文学学院西班牙文系副教授，西班牙马德里自治大学语言学博士，译有《加莱亚诺传》《波拉尼奥的肖像》等。,238072字,19.99元
永恒的终结,https://pic.arkread.com/cover/ebook/f/7965034.1653700260.jpg!cover_default.jpg,https://read.douban.com/ebook/7965034/,"[美] 艾萨克·阿西莫夫 , 译者: 崔正男",关于时间旅行的终极奥秘和恢宏构想，阿西莫夫被公认的杰作  24世纪，人类发明了时间力场。27世纪，人类在掌握时间旅行技术后，成立了一个叫做永恒时空（Eternity）的组织，在每个时代的背后，默默地守护着人类社会的发展。永恒时空以一个世纪为单位，并视每个世纪的发展需要而加以微调，以避免社会全体受到更大伤害。通过纠正过去的错误，将所有灾难扼杀在萌芽中，人类终于获得安宁的未来。然而，这种“绝对安全”的未来却在某一天迎来了终结。不知不觉中形成的因果链，仿佛从四面八方涌来的黑暗，即将吞噬全人类。  安德鲁·哈伦，生于95世纪，他是永恒时空的时空技师、人类未来社会的精英。他的天职是靠操纵时空壶，进行时间旅行来守护500亿人类，而在一次时空任务中，他邂逅了令他一见倾心的姑娘，而突然来到的爱情却让他开始质疑整个世界。  同时，人类最后的希望，也落在了时间旅行者安德鲁·哈伦最后的时空任务上……  ◆《永恒的终结》是最伟大的科幻作家阿西莫夫被公认的最高杰作。  ◆《永恒的终结》厘清了关于时间旅行的一切构想！  ◆科幻迷们翘首以盼60年来，唯一中文版全译本首次登陆中国。  ◆穿越时空的爱情，闻所未闻的永恒时空。文艺青年与技术宅的共同挚爱！   ◆《永恒的终结》汇聚了阿西莫夫关于时间旅行的全部奇思妙想！  ◆ 电影将由奥斯卡的最佳纪录长片奖导演得主凯文·麦克唐纳执导。  ◆《永恒的终结》和“银河帝国：基地”系列有着千丝万缕的关系！  ◆一部极富远见的启发过无数科幻作家的经典巨著！《生活大爆炸》中的谢耳朵最钟爱的科幻巨匠！  ◆出版60年来，《永恒的终结》对人类的太空探索、世界局势、前沿经济学理论、好莱坞电影产生了深远的影响。  艾萨克·阿西莫夫  Isaac Asimov （1920 ~1992）  俄裔美籍作家，全知全能，被全世界读者誉为“神一样的人”。美国政府授予他“国家的资源和大自然的奇迹”这个独一无二的称号，以表彰他在“拓展人类想象力”上做出的杰出贡献。  阿西莫夫创作力丰沛，一生之中著作近500 本，涉及杜威图书分类法的每一个范畴，涵盖人类生活的每一个层面，上天下海、古往今来、从恐龙到亚原子到全宇宙无所不包，从通俗小说到罗马帝国史，从科普读物到远东千年历史，从圣经指南，到科学指南，到两性生活指南，每一部著作都朴实、严谨而又充满幽默风趣的格调。  作为人类世界里最伟大的科幻小说家之一，阿西莫夫曾获得代表着科幻界最高荣誉的雨果奖和星云终身成就“大师奖”。他于1955年完成了一部极富远见的、关于时间旅行的长篇小说《永恒的终结》，厘清了关于时间旅行的终极奥秘和恢宏构想。问世60年来，这部作品被全球科幻迷们一致奉为阿西莫夫的最高杰作。,133325字,14.99元
骗子的化装表演,https://pic.arkread.com/cover/ebook/f/474852190.1721283569.jpg!cover_default.jpg,https://read.douban.com/ebook/474852190/,"[美] 赫尔曼·麦尔维尔, 译者: 陆源",◎美国“文艺复兴时期”文学巨匠，现代主义在美国的真正先驱和主要代表  ◎赫尔曼·麦尔维尔生前出版最后一部长篇中文首译  ◎拷打资本主义，拷打超验主义，对“美国梦”的毁灭性讽刺大全  《骗子的化装表演》是赫尔曼·麦尔维尔生前最后一部公开发表的长篇小说。不少批评家认为，本书与《白鲸》各有千秋，高于麦尔维尔创作的其他长篇作品，但可能没几个人读得懂它。  小说的情节并不复杂。愚人节，密西西比河上的汽船“忠诚号”上人来人往，各色人等相继登场，骗子在其中不断变换身份，向乘客们实施了一连串令人眼花缭乱的哲学和神学“洗脑”。  “骗子”（Confidence-Man）是美国用语，最初实指一名1849年被捕的超级诈骗犯。英语单词Confidence既有“信心”之意，也有“欺骗”之意。作者通过对骗子以及船上不同身份、不同社会地位人物的精致刻画，揭露、讽刺了19世纪中期美国社会对财富的疯狂追求，猛烈鞭挞畸形的资本主义以及被物化和异化的人际关系。字里行间，麦尔维尔不断对当时盛行的信仰狂热和超验主义提出质疑，讽喻了各种各样的美国式信心—欺骗——诸如激进的社会改革方案、接受大自然馈赠的思潮，又如对法律程序正义的信念，以及对自由派基督教济世之功的大肆宣扬等等，堪称是对美国梦的毁灭性讽刺大全。  《骗子的化装表演》一书还指涉了不少作者生活年代的文坛轶事、社会新闻、国际局势、时世风潮。书中有不少人物是以19世纪英美两国一些文学家、艺术家、政治家、科学家和社会知名人士为原型，对爱默生、霍桑、梭罗、爱伦·坡等诸家的品评和暗讽隐于书中各处，甚至有论者认为，书中骗子的原型就是爱默生。    赫尔曼·麦尔维尔（Herman Melville，1819年8月1日—1891年9月28日），美国最伟大的小说家、散文家和诗人，象征主义文学大师，被普遍认为是美国文学的巅峰人物之一。劳伦斯、加缪、博尔赫斯、毛姆、格非等皆为其作品的推崇者。麦尔维尔年轻时从事过多种职业，还先后在远洋商船和捕鲸船上工作，这些经历对他的写作产生了深远影响。他以极其敏锐的目光关注着自己生活的时代及其社会变迁，一生潦倒。他的作品无不闪烁着批判的火花，直接针砭美国政治，怀疑超验主义的乐观主义理论，对社会进步持悲观态度，给美国文学注入了悲剧色彩。代表作包括长篇小说《白鲸》“波利尼西亚三部曲”《皮埃尔》《水手比利·巴德》等，另著有大量短篇小说和诗歌，其中一万八千行长诗《克拉瑞尔》是诗歌史上难以绕过的里程碑。  《骗子的化装舞会》是麦尔维尔生前出版的最后一部长篇小说（其去世后约三十年，真正的长篇小说绝唱《水手比利·巴德》书稿才被发现）。  译者：陆源，译者，作家。译有小说集《苹果木桌子及其他简记》等。著有长篇小说《祖先的爱情》和中短篇小说集《南荒有沛竹》等。,202424字,28.99元
